ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
748,57,32,21,94112,3,0.1,2,0,0,1,1,1,0
749,41,17,14,91330,1,1,1,0,0,0,0,0,0
750,58,34,60,92008,4,1.6,2,0,0,0,0,0,1
751,29,5,138,93106,2,4.33,1,0,0,0,0,1,0
752,53,28,98,90210,1,1.3,3,355,0,0,0,1,0
753,64,39,22,90071,4,0.6,2,0,0,0,0,0,0
754,49,23,49,94720,1,1.2,2,0,0,0,0,1,1
755,38,14,102,95020,2,1.9,1,0,0,0,1,1,1
756,56,30,45,91103,4,0.7,2,0,0,0,0,0,1
757,56,31,82,95348,4,1.3,3,0,0,0,0,1,0
758,52,28,81,91745,3,1.8,2,0,0,1,0,0,0
759,64,39,35,90266,1,1.5,2,0,0,1,0,0,0
760,53,28,59,91950,2,1.9,2,0,0,0,0,1,0
761,29,3,52,92122,3,1.1,2,0,0,0,0,1,0
762,48,24,84,92152,3,0.7,1,166,0,0,0,1,0
763,32,6,85,90504,1,2.7,2,100,0,0,0,1,0
764,54,28,65,94122,1,0.2,1,0,0,0,0,0,1
765,37,13,89,95051,2,1.7,2,314,0,0,0,0,1
766,47,21,109,95822,4,1.8,1,0,1,0,0,0,0
767,37,12,81,94538,1,2.8,1,0,0,0,0,0,0
768,64,39,38,92024,1,1.1,3,108,0,0,0,0,0
769,43,19,72,90024,2,1.7,1,0,0,0,0,1,0
770,33,6,78,90250,4,2,2,119,0,1,0,1,0
771,26,2,172,94551,2,6.9,2,0,1,0,0,1,0
772,42,18,71,91614,3,2.33,1,106,0,1,0,1,0
773,54,28,165,92093,1,4.1,3,0,1,0,1,1,1
774,41,16,120,92612,2,3.9,1,0,0,0,0,1,1
775,55,29,39,92154,1,0.2,1,0,0,0,0,0,1
776,65,39,23,92835,3,0.7,2,0,0,0,0,0,1
777,50,26,135,92121,2,4.6,3,91,1,0,0,1,0
778,55,31,12,95060,2,0.2,1,76,0,0,0,1,1
779,62,36,92,94801,2,0.7,2,0,0,0,0,1,0
780,53,28,192,94304,2,6.4,3,0,1,0,0,0,0
781,32,7,42,92634,4,0.8,1,0,0,0,0,1,1
782,56,32,158,94588,3,3.7,3,0,1,0,0,1,0
783,54,30,194,92056,3,6,3,587,1,1,1,1,1
784,44,20,160,94606,2,7.6,1,0,0,1,0,0,0
785,48,22,98,94115,2,6.3,1,0,0,0,0,0,0
786,46,22,164,94122,2,7.6,1,0,0,0,1,1,1
787,45,21,42,94305,2,2.5,1,0,0,1,0,1,0
788,45,15,202,91380,3,10,3,0,1,0,0,0,0
789,58,34,10,92521,4,0.7,1,0,0,0,0,0,0
790,29,3,31,92126,4,0.3,2,0,0,0,0,1,0
791,55,30,58,92028,4,0.9,1,0,0,0,0,1,1
792,55,29,65,94501,4,2.8,2,0,0,0,0,1,0
793,41,16,98,93117,1,4,3,0,0,0,0,0,1
794,24,-2,150,94720,2,2,1,0,0,0,0,1,0
795,54,29,44,91301,2,2.3,3,0,0,0,0,1,0
796,57,32,15,92806,2,0.2,3,0,0,0,0,0,1
797,30,6,82,93657,2,2.5,1,0,0,0,0,0,0
798,42,17,61,94998,3,0.5,3,0,0,0,0,1,0
799,29,2,38,93063,1,2,2,0,0,0,0,0,0
800,29,3,39,95051,4,2.1,3,0,0,0,0,1,0
801,31,7,173,91040,1,6,1,0,0,0,0,1,0
802,47,23,8,92612,4,0.2,1,0,0,0,0,1,0
803,36,12,51,92521,3,2,1,214,0,0,0,1,0
804,52,27,62,92661,4,1.8,3,82,0,0,0,0,0
805,54,28,34,94061,4,0.7,2,0,0,0,0,1,0
806,55,29,132,95758,3,5.9,2,307,1,0,0,0,0
807,53,27,44,94542,4,1.5,3,0,0,0,0,0,0
808,52,27,162,92096,1,8.1,1,0,0,0,0,1,0
809,64,39,64,92068,3,2.2,1,0,0,0,0,1,0
810,54,29,111,94304,1,0.1,3,0,0,0,0,0,1
811,32,6,41,92182,2,2,3,0,0,0,0,0,0
812,63,33,52,94720,4,1.67,3,0,0,0,0,0,0
813,36,10,65,90089,4,2.2,2,0,0,0,0,0,0
814,50,25,130,94720,1,1.1,2,0,1,0,0,1,0
815,33,8,45,93943,2,0.1,1,0,0,0,0,0,1
816,62,38,35,94596,1,1.9,2,118,0,0,0,0,0
817,49,23,65,94035,3,0.7,2,263,0,0,0,1,1
818,41,15,38,90291,2,0.7,1,91,0,0,0,1,0
819,51,27,42,95039,4,1.1,2,0,0,0,0,1,1
820,56,30,45,90024,4,1.5,3,0,0,0,0,0,0
821,51,25,145,90740,1,0.3,1,0,0,0,0,1,0
822,39,13,33,92093,4,1.5,3,0,0,0,0,0,0
823,61,35,60,96091,3,1.4,3,0,0,0,0,0,0
824,35,9,45,90509,1,2,1,0,0,0,0,1,1
825,39,15,72,94801,4,2.4,1,0,0,1,0,1,0
826,37,11,34,95616,3,0.2,2,0,0,0,0,0,0
827,48,21,23,93555,3,0.67,2,0,0,0,0,1,0
828,63,37,45,94542,2,1,3,88,0,0,0,1,1
829,35,9,28,94542,4,1,1,75,0,0,0,1,0
830,55,30,81,90254,4,3.8,2,0,0,0,0,1,0
831,29,5,72,92407,3,0.7,2,81,0,0,0,0,0
832,61,31,49,94066,4,1.67,3,0,0,0,0,1,0
833,36,10,31,90630,4,1.2,2,0,0,0,0,0,0
834,61,35,63,94939,3,2.2,3,0,0,0,0,0,0
835,36,12,150,95138,4,5.4,1,0,1,1,1,1,0
836,58,33,142,92691,2,3.9,1,193,0,0,0,1,1
837,42,17,74,92123,3,3,1,0,0,0,0,0,1
838,30,4,24,92096,1,0.4,2,81,0,0,0,1,0
839,45,20,29,92507,4,1.9,3,0,0,0,0,0,0
840,39,15,79,92646,4,2.4,1,0,0,0,0,0,0
841,27,3,94,92373,2,0.2,1,310,0,0,0,0,1
842,57,33,121,94542,1,4.3,1,0,0,1,0,0,0
843,34,10,54,92101,3,2,1,0,0,0,0,0,0
844,64,39,73,94720,3,2.4,1,0,0,0,0,1,0
845,47,23,71,95762,1,0.8,3,127,0,0,0,1,0
846,44,17,29,94706,3,1,2,0,0,0,0,1,1
847,51,27,93,92154,1,2.7,1,0,0,0,0,1,0
848,40,14,73,94539,1,1.5,3,252,0,0,0,1,0
849,57,32,19,94720,4,0.9,2,0,0,0,0,1,0
850,33,8,58,94305,2,0.1,1,0,0,1,1,1,1
851,46,20,39,95054,1,0.2,1,0,0,0,0,0,0
852,41,16,23,94521,2,1.4,2,0,0,1,0,1,0
853,33,7,29,92064,1,0.6,3,127,0,0,0,0,1
854,27,2,155,95138,1,0.8,1,0,0,0,0,0,0
855,52,28,90,95814,1,2.6,2,0,0,1,0,1,0
856,59,33,113,92152,2,2,1,77,0,0,0,1,0
857,62,38,42,94025,1,1.8,3,0,0,0,0,0,0
858,49,25,30,95616,4,0.2,1,0,0,0,1,1,1
859,45,19,19,94720,3,0.5,2,0,0,0,0,1,0
860,63,37,124,92182,3,5,2,170,1,0,0,0,0
861,57,31,30,95841,2,0.7,2,145,0,0,0,0,0
862,60,30,28,92354,1,1.5,3,124,0,1,0,1,0
863,50,23,15,94025,2,1,2,101,0,0,0,0,0
864,54,30,70,90095,1,1.6,3,265,0,0,0,0,0
865,28,2,10,94080,1,0.1,2,0,0,0,0,1,0
866,60,34,22,92037,3,0.3,3,139,0,0,0,1,1
867,44,20,70,94611,4,1.9,1,0,0,0,0,1,0
868,61,35,61,94708,1,1.6,1,0,0,0,0,0,0
869,40,15,161,94596,2,3.3,1,0,0,1,0,0,1
870,54,30,29,93014,2,0.8,1,0,0,0,0,0,1
871,43,19,35,92106,3,0.5,1,0,0,0,0,1,0
872,54,28,48,96091,4,2.8,2,0,0,0,0,1,0
873,32,7,44,90095,4,0.8,1,0,0,0,0,1,0
874,24,0,88,90740,3,0.8,1,134,0,0,0,0,0
875,30,4,40,92056,4,2.1,3,0,0,0,0,1,1
876,61,36,21,95616,4,0.4,2,123,0,0,0,0,0
877,40,14,58,94025,2,2.8,1,0,0,0,0,1,0
878,35,11,59,95123,4,0.1,2,0,0,0,0,0,0
879,33,3,74,95616,4,4,3,0,0,0,0,0,0
880,63,37,84,91768,4,1.9,2,0,0,0,0,1,0
881,57,31,58,91604,1,0.2,1,177,0,0,0,1,0
882,44,19,154,92116,2,8.8,1,0,0,0,0,1,0
883,51,25,185,94117,1,1.7,1,0,0,0,0,0,0
884,51,26,78,92703,1,1.2,1,305,0,0,0,1,0
885,38,13,55,91709,2,1.1,2,0,0,0,0,1,0
886,31,5,30,94304,4,0.3,2,0,0,0,0,1,0
887,54,29,74,93907,3,2,2,0,0,0,0,0,0
888,41,16,118,94720,2,3.3,1,0,0,0,0,1,0
889,57,33,182,94114,2,3.3,3,372,1,0,0,0,0
890,24,-2,82,91103,2,1.6,3,0,0,0,0,1,1
891,55,29,29,92780,4,1.5,3,79,0,0,0,1,0
892,32,6,120,94102,4,5.4,1,301,1,0,1,1,1
893,38,12,53,95616,2,2.4,2,0,0,0,0,1,0
894,58,32,43,93943,3,1.4,1,0,0,0,0,0,1
895,29,4,59,95064,4,2.2,1,232,0,0,0,1,1
896,43,17,84,94608,4,2.6,3,289,0,1,1,1,1
897,50,24,161,95133,3,3.4,1,212,1,0,0,1,0
898,62,37,21,92691,4,0.4,2,137,0,0,0,1,1
899,57,32,63,94111,4,0.7,1,0,0,0,0,1,0
900,30,3,172,91302,3,3.4,2,0,1,0,0,0,1
901,30,4,51,94709,4,0.2,1,172,0,0,0,0,1
902,57,33,24,95616,4,0.7,1,0,0,0,0,1,0
903,57,33,95,95054,2,1.6,1,0,0,0,0,0,0
904,43,18,59,90048,1,2.4,1,250,0,0,0,1,0
905,28,2,51,90503,4,1.8,2,0,0,1,0,0,0
906,46,22,28,94720,1,1,1,84,0,0,0,1,1
907,29,3,154,94720,2,2,1,130,0,0,0,0,0
908,64,40,15,91711,2,0.3,3,115,0,0,0,1,1
909,66,36,55,93023,4,1.67,3,0,0,0,0,0,1
910,23,-1,149,91709,1,6.33,1,305,0,0,0,0,1
911,60,36,79,92120,1,1.8,3,0,0,0,0,0,1
912,47,21,68,94538,4,2.6,3,0,0,0,0,0,0
913,35,10,78,94105,1,2.6,2,0,0,0,0,1,0
914,57,32,34,92507,2,2,2,0,0,1,0,0,0
915,65,41,195,91711,3,0.4,1,0,1,1,1,0,1
916,53,28,184,94550,1,8.1,1,303,0,0,0,1,0
917,44,20,85,92192,2,3.2,1,0,0,0,0,1,0
918,45,20,200,90405,2,8.8,1,0,0,0,0,1,1
919,41,16,64,92325,3,0.5,3,0,0,0,0,0,0
920,51,27,88,91116,1,2.6,2,0,0,1,0,0,1
921,27,1,42,94501,3,2.4,2,0,0,0,0,0,0
922,31,5,91,92096,3,1.6,1,126,0,0,0,1,1
923,32,6,38,92868,1,0.3,1,0,0,1,1,1,0
924,55,30,28,95123,1,1.5,2,0,0,0,0,0,0
925,55,30,32,91330,4,0.1,3,0,0,1,0,0,0
926,42,18,31,94720,1,0.3,3,0,0,0,0,0,1
927,33,9,22,93940,4,0.4,2,103,0,0,0,1,0
928,65,40,95,95014,3,3.7,2,138,1,0,0,0,1
929,35,10,74,90638,4,1.3,1,0,0,0,0,1,0
930,55,30,22,92121,1,1.5,2,91,0,0,0,0,1
931,28,4,43,92103,3,0.1,2,0,0,0,0,1,0
932,27,3,43,91302,1,1,3,0,0,0,0,1,0
933,51,27,112,94720,3,1.8,2,0,0,1,1,1,1
934,50,23,9,92064,2,1,2,0,0,0,0,1,0
935,58,33,81,91320,2,0,3,0,0,0,0,1,0
936,46,20,131,95929,1,5.7,1,256,0,0,0,0,1
937,62,32,19,92109,1,1.5,3,0,0,1,0,0,0
938,38,13,62,92093,3,0.7,2,0,0,1,0,1,0
939,62,37,19,95818,4,0.4,2,124,0,1,0,0,0
940,56,32,8,93943,2,0.3,1,0,0,0,0,1,1
941,61,36,193,94303,1,4.7,3,203,1,0,0,1,0
942,38,13,129,92093,4,4.4,1,140,1,0,0,0,0
943,55,29,30,91320,4,0.7,2,0,0,0,0,0,1
944,30,4,80,94701,4,1.8,2,0,0,0,0,0,0
945,41,15,22,90503,4,1.5,3,0,0,0,0,0,1
